"Path","Lines","Dir"
"Assets\Scripts\SceneControllers\PlayingScene\Game\FieldManager.cs","55","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Game"
"Assets\Scripts\SceneControllers\PlayingScene\Game\Game.cs","13","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Game"
"Assets\Scripts\SceneControllers\PlayingScene\Game\GameManager.cs","999","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Game"
"Assets\Scripts\SceneControllers\PlayingScene\Game\HandManager.cs","83","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Game"
"Assets\Scripts\SceneControllers\PlayingScene\GameInterfaceController.cs","987","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene"
"Assets\Scripts\SceneControllers\PlayingScene\Network\NetworkAvatarSyncer.cs","277","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Network"
"Assets\Scripts\SceneControllers\PlayingScene\Network\NetworkCardData.cs","37","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Network"
"Assets\Scripts\SceneControllers\PlayingScene\Network\NetworkGameController.cs","1133","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Network"
"Assets\Scripts\SceneControllers\PlayingScene\Network\NetworkGameTurnManager.cs","333","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Network"
"Assets\Scripts\SceneControllers\PlayingScene\Network\NetworkRunnerController.cs","127","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Network"
"Assets\Scripts\SceneControllers\PlayingScene\Network\NetworkRunnerHandler.cs","391","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene\Network"
"Assets\Scripts\SceneControllers\PlayingScene\ObjectsSettingsForSpectrator.cs","79","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene"
"Assets\Scripts\SceneControllers\PlayingScene\Overlay3DManager.cs","55","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene"
"Assets\Scripts\SceneControllers\PlayingScene\StartPlaySceneController.cs","119","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene"
"Assets\Scripts\SceneControllers\PlayingScene\ZoomElementsInteractionPanelController.cs","203","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene"
